experiment_id,rebalance_date,signal_date,formation_date,model,top_n,eligible_rows,scored_rows,selected_rows,executed,nav_pre,nav_post_cost,gross_trade,turnover
bottleneck_full:10,2012-07-02,2012-06-29,2012-06-30,bottleneck_full,10,464,81,10,True,11746393.576403286,11724868.504038714,14350048.243048072,1.2216556639031004
bottleneck_full:10,2012-10-01,2012-09-28,2012-09-30,bottleneck_full,10,466,81,10,True,12293113.854720213,12270967.399255898,14764303.642876549,1.201022281039679
bottleneck_full:10,2013-01-02,2012-12-31,2012-12-31,bottleneck_full,10,471,78,10,True,12780513.129825957,12761342.360131219,12780513.129825957,1.0
bottleneck_full:10,2013-04-01,2013-03-28,2013-03-31,bottleneck_full,10,472,95,10,True,13490620.211762462,13466337.521566965,16188460.1303317,1.1999789391607802
bottleneck_full:10,2013-07-01,2013-06-28,2013-06-30,bottleneck_full,10,473,91,10,True,14035699.204651741,13997848.237959212,25233977.795019172,1.7978425888933323
bottleneck_full:10,2013-10-01,2013-09-30,2013-09-30,bottleneck_full,10,477,88,10,True,15344019.40956912,15321003.380454766,15344019.409569118,0.9999999999999999
bottleneck_full:10,2014-01-02,2013-12-31,2013-12-31,bottleneck_full,10,482,89,10,True,16286147.422550999,16261321.633180471,16550526.247018026,1.0162333557229717
bottleneck_full:10,2014-04-01,2014-03-31,2014-03-31,bottleneck_full,10,484,105,10,True,16648635.249968974,16618594.679964097,20027046.669918194,1.20292422587344
bottleneck_full:10,2014-07-01,2014-06-30,2014-06-30,bottleneck_full,10,484,95,10,True,17649976.769770138,17612621.95779724,24903207.981932,1.410948484905928
bottleneck_full:10,2014-10-01,2014-09-30,2014-09-30,bottleneck_full,10,485,82,10,True,16807047.380621295,16771373.929971732,23782300.433042426,1.415019538795593
bottleneck_full:10,2015-01-02,2014-12-31,2014-12-31,bottleneck_full,10,485,74,10,True,17286708.807870887,17250346.735330474,24241381.693608724,1.40231330110514
bottleneck_full:10,2015-04-01,2015-03-31,2015-03-31,bottleneck_full,10,488,89,10,True,18620394.03765366,18580890.066214643,26335980.959344175,1.4143621722552306
bottleneck_full:10,2015-07-01,2015-06-30,2015-06-30,bottleneck_full,10,485,74,10,True,19722511.362474736,19686738.57008724,23848528.258330777,1.2092034234395959
bottleneck_full:10,2015-10-01,2015-09-30,2015-09-30,bottleneck_full,10,481,65,10,True,19432033.884569403,19402105.785595406,19952065.98266399,1.0267615886830834
bottleneck_full:10,2016-01-04,2015-12-31,2015-12-31,bottleneck_full,10,481,64,10,True,20890178.18934254,20852034.031171735,25429438.780537426,1.2172916166656091
bottleneck_full:10,2016-04-01,2016-03-31,2016-03-31,bottleneck_full,10,483,75,10,True,20887093.317185998,20843017.22073851,29384064.298323262,1.4068048556160717
bottleneck_full:10,2016-07-01,2016-06-30,2016-06-30,bottleneck_full,10,484,70,10,True,21017826.869590744,20979612.987132467,25475921.638852227,1.2121101670939918
